name,main_category,sub_category,review_rating,no_of_ratings,discount_price,actual_price,best_model,comments,cleaned_narrative,best_avg_score,link
"realme narzo 50A Prime (Flash Black, 4GB RAM+64GB Storage) Full High Definition+ Display |50MP AI Triple Camera| Charger I...","tv, audio & cameras",All Electronics,3.0 out of 5 stars,"8,307","₹9,749","₹13,499",BART,warn graphic content click read full transcript interview click watch full interview cnncom,"""The customer expressed dissatisfaction with their purchase, mentioning that despite its high definition display and triple camera system, the device's performance was subpar, leading to a low rating."" ""In response to concerns about battery life or charging speed, the reviewer highlighted that they encountered issues with both when trying to use it regularly, indicating potential design flaws or manufacturing defects in the device.""",0.0,https://www.amazon.in/realme-Storage-Definition-Display-Included/dp/B0BG1PYJR4/ref=sr_1_16?qid=1679133649&s=electronics&sr=1-16
"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Andro...","tv, audio & cameras",All Electronics,1.0 out of 5 stars,"11,100","₹5,899","₹8,999",BART,bad experi devic xr phone back camera found defect non function amazon careless hang damag piec worth rupe,"The customer mentioned their negative experience with the Redmi A1, which included a defective back camera that rendered the device unfunctional. The reviewer noted that Amazon's carelessness was evident in addressing the issue promptly. As a result, the customer is now unable to use the phone due to its damage, leading them to express dissatisfaction over an investment valued at nearly 91,000 rupees.",0.867235656709341,https://www.amazon.in/Redmi-Storage-Segment-5000mAh-Battery/dp/B0BBN4DZBD/ref=sr_1_17?qid=1679133649&s=electronics&sr=1-17
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 8GB RAM, 128GB Storage)","tv, audio & cameras",All Electronics,5.0 out of 5 stars,"113,956","₹20,999","₹21,999",T5,amazoncom amaz phone amaz camera come devic plu great servic amazon devic great phone great camera amaz camera,"The customer mentioned the OnePlus Nord CE 2 Lite 5G, which they found to be an exceptional product with impressive features, especially its high-quality camera system. The reviewer noted that Amazon's service was outstanding, leading them to appreciate their experience even more. The customer praised both the device and Amazon for providing top-notch products and excellent customer support.",0.6611111111111111,https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/dp/B09X586PKC/ref=sr_1_18?qid=1679133649&s=electronics&sr=1-18
"boAt Airdopes Atom 81 True Wireless in Ear Earbuds with Upto 50H Playtime, Quad Mics ENx Tech, 13MM Drivers, Beast Mode(50...","tv, audio & cameras",All Electronics,1.0 out of 5 stars,"3,327","₹1,299","₹4,490",T5,face id work there glitch front camera portrait mode amazonin authoris appl resel,"The customer mentioned that the Face ID feature does not work as expected on their boAt Airdopes Atom 81 True Wireless earbuds. Additionally, they noted a glitch in the front camera's portrait mode, which has disrupted their experience significantly. The reviewer highlighted that Amazon.in was not recognized as an authorized Apple reseller for these products, leading to potential issues with compatibility or authenticity concerns.",0.5080971659919028,https://www.amazon.in/boAt-Airdopes-Atom-81-Wireless/dp/B0BKG5PQ6T/ref=sr_1_19?qid=1679133649&s=electronics&sr=1-19
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming,...","tv, audio & cameras",All Electronics,5.0 out of 5 stars,"172,347","₹1,299","₹4,490",T5,ive android user life decid tri devic xr io month sinc got phone im love face id work flawlessli even dark,"The customer mentioned that they have been an Android user but have recently switched to the device XR due to its compatibility with both platforms. They are particularly impressed by the flawless Face ID functionality on their iPhone, noting how well it works even under low light conditions. The reviewer notes that they have experienced smooth performance across various apps and games without any hitches or lag issues, indicating high satisfaction with the product's latency capabilities.",0.6541942257217848,https://www.amazon.in/Airdopes-141-Bluetooth-Wireless-Playtime/dp/B09N3XMZ5F/ref=sr_1_20?qid=1679133649&s=electronics&sr=1-20
boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),"tv, audio & cameras",All Electronics,1.0 out of 5 stars,"375,110",₹399,₹999,BART,deliv phone work immedi remov box appl servic told phone lie without charg sinc month henc batteri fail leav phone appl repair wait replac batteri,"The customer, who received a defective product due to shipping issues, contacted Apple's support team who informed them that the device was faulty from an initial shipment date, necessitating a replacement battery by Apple. The reviewer acknowledged this situation as frustrating and highlighted the inconvenience caused by the extended repair process required.",0.7047953216374269,https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_21?qid=1679133649&s=electronics&sr=1-21
"boAt Rockerz 330 Bluetooth Wireless in Ear Earphones with mic, Upto 30 Hours Playtime, ASAP Charge, Signature Sound, Dual ...","tv, audio & cameras",All Electronics,5.0 out of 5 stars,"114,951","₹1,099","₹3,990",BART,month sinc start use devic xr experi awesom excel batteri life smooth oper system dual sim function best featur devic issu bother time taken charg phone,"The customer mentioned that they have been impressed by the boAt Rockerz 330 Bluetooth wireless earphones, praising their excellent battery life and smooth operation. Notably, the dual SIM feature was highlighted as one of the standout benefits. The only minor concern raised by the customer was about the charging time.",0.7344286642532256,https://www.amazon.in/boAt-Rockerz-330-Bluetooth-Assistant/dp/B092XRRZ6C/ref=sr_1_22?qid=1679133649&s=electronics&sr=1-22
Lapster 5-in-1 Multi-Function Laptop Cleaning Brush/Keyboard Cleaning kit/Gadget Cleaning kit Gap Duster Key-Cap Puller fo...,"tv, audio & cameras",All Electronics,1.0 out of 5 stars,765,₹97,₹999,T5,phone hang video qualiti good im sure good phone,"The customer mentioned that their phone was damaged due to improper use, leading to issues with functionality and video quality. The reviewer noted that while they are unsure about whether the product performs its intended cleaning tasks effectively.",0.6166666666666667,https://www.amazon.in/Lapster-Multi-Function-Cleaning-Keyboard-Earphones/dp/B0BBW16VH9/ref=sr_1_23?qid=1679133649&s=electronics&sr=1-23
"boAt Wave Call Smart Watch, Smart Talk with Advanced Dedicated Bluetooth Calling Chip, 1.69 HD Display with 550 NITS & 70%...","tv, audio & cameras",All Electronics,4.0 out of 5 stars,"23,231","₹1,999","₹7,990",BART,ill use review mostli say im fan particular devic model ill use mostli show dont like particular model,"The customer mentioned that they were disappointed with the advanced dedicated Bluetooth calling chip as it often resulted in dropped calls during conversations. The reviewer noted that despite the high-resolution display (1.69 HD) and brightness levels (550 nits), the battery life was notably short compared to similar models on the market. The customer also highlighted issues with the screen's responsiveness when switching between apps and watching videos, which seemed sluggish at times. Overall, while impressed by the watch’s features, the user",0.698139287612972,https://www.amazon.in/boAt-Wave-Call-Dedicated-Multi-Sport/dp/B0B5B6PQCT/ref=sr_1_24?qid=1679133649&s=electronics&sr=1-24
"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs...","tv, audio & cameras",All Electronics,1.0 out of 5 stars,"90,304","₹1,999","₹2,299",BART,went devic xr month consider amazon offer realli good discount felt time right upgrad,"""The customer mentioned their initial hesitation due to the steep price increase from the OnePlus XR model, but was pleasantly surprised by the superior sound quality and compact design of the OnePlus Bullets Z2 earbuds."" ""The reviewer noted that while the battery life exceeded expectations, the overall audio experience fell short compared to premium headphones, leading to an unsatisfactory rating of just 1 out of 5 stars.""",0.8507918866351765,https://www.amazon.in/Oneplus-Bluetooth-Wireless-Earphones-Bombastic/dp/B0B3MNYGTW/ref=sr_1_25?qid=1679133649&s=electronics&sr=1-25
"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight...","tv, audio & cameras",All Electronics,5.0 out of 5 stars,"188,031","₹1,099","₹2,990",BART,best mobil favourit nice xr amaz futur best camera thank amazon best phone best camera thank amazon amazon,"The customer mentioned that they found the boAt Airdopes 121v2 earbuds to be their favorite among all wireless options available, praising their excellent battery life and lightweight design. The reviewer noted that these earbuds have surpassed expectations with features such as high-quality sound from 8mm drivers and intuitive battery indicators, making them perfect for both casual use and extended sessions. They also highlighted how impressed they were by the quality of photography taken with the included camera, which further enhanced",0.7691197691197691,https://www.amazon.in/Airdopes-121v2-Bluetooth-Immersive-Assistant/dp/B08JQN8DGZ/ref=sr_1_26?qid=1679133649&s=electronics&sr=1-26
"Redmi A1 (Black, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12","tv, audio & cameras",All Electronics,1.0 out of 5 stars,"11,100","₹5,899","₹8,999",BART,dont buy appl product amazon got defect product activ first charg devic start heat like anyth sinc day replac polici ask amazon replac product defect didnt chang devic rather told visit servic centr,"The customer mentioned that they purchased a Redmi A1 with features such as best AI dual cam, 5000mAh battery, and leather texture design for Android 12. However, during their initial experience, the device became unresponsive and began overheating after just one day of use. Despite returning the item within the 10-day replacement policy, the company did not rectify the issue; instead, they advised the customer to visit a service center. The reviewer expressed disappointment and",0.8291806958473625,https://www.amazon.in/Redmi-Storage-Segment-5000mAh-Battery/dp/B0BBN56J5H/ref=sr_1_27?qid=1679133649&s=electronics&sr=1-27
"Redmi 10A (Charcoal Black, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | U...","tv, audio & cameras",All Electronics,5.0 out of 5 stars,"15,480","₹8,599","₹11,999",BART,face recognit slower time die hard fan xr eagerli wait dual sim devic heavi look attract readi carri littl extra weight,"""The customer mentioned the face recognition feature being slightly slower at times, though acknowledged their enthusiasm for Xiaomi's technology."" The reviewer noted, ""While the device feels somewhat heavier due to its design, the attractive appearance outweighs this minor drawback.""",0.9296788482834994,https://www.amazon.in/Redmi-Charcoal-Storage-Battery-Booster/dp/B09XB8GFBQ/ref=sr_1_28?qid=1679133649&s=electronics&sr=1-28
"OnePlus Nord Buds True Wireless in Ear Earbuds with Mic, 12.4mm Titanium Drivers, Playback:Up to 30hr case, 4-Mic Design +...","tv, audio & cameras",All Electronics,2.0 out of 5 stars,"23,720","₹2,799","₹2,999",BART,dont buy phone wast money hang mani time dont buy itll wast time,"The customer mentioned that the OnePlus Nord Buds True Wireless earbuds were prone to hanging up frequently due to technical issues. The reviewer noted that despite their impressive battery life (up to 30 hours on a single charge), they found themselves constantly resetting the device, which is an inconvenience. This has led them to conclude that these earbuds are not worth purchasing for most users as they may result in wasted time managing the device's malfunctions.",0.7128667128667129,https://www.amazon.in/OnePlus-Wireless-Earbuds-Titanium-Playback/dp/B09ZHPN8W5/ref=sr_1_28?qid=1679133651&s=electronics&sr=1-28
"boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback, ASAP Charge, IPX7, Dual Pairing, BT v5.0, wi...","tv, audio & cameras",All Electronics,3.0 out of 5 stars,"148,827","₹1,499","₹3,990",BART,singl sim work fine use esim phone good qualiti dual sim mani time number show switch,"The customer mentioned that while the single SIM model works well, the dual-SIM version has poor quality due to frequent number switching issues on their device. The reviewer noted that the performance significantly degrades when using an E-SIM in this phone.",1.0,https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8/ref=sr_1_30?qid=1679133651&s=electronics&sr=1-30
"boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback, ASAP Charge, IPX7, Dual Pairing, BT v5.0, wi...","tv, audio & cameras",All Electronics,1.0 out of 5 stars,"148,827","₹1,299","₹3,990",BART,support type sim network get disconnect sometim support kind sim,"The customer mentioned that their boAt Rockerz 255 Pro+ headphones did not support any type of SIM card, resulting in connectivity issues and frequent disconnections from networks after some time use. The reviewer noted that this device does not offer any form of cellular service or support for SIM cards whatsoever.",0.7456140350877192,https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TTXNZ4Y/ref=sr_1_31?qid=1679133651&s=electronics&sr=1-31
"Hammer Ace 3.0 Bluetooth Calling Smart Watch with Largest 1.85"" IPS Display, Dual Mode, Spo2, Heart Rate, Strong Metallic ...","tv, audio & cameras",All Electronics,5.0 out of 5 stars,FREE Delivery by Amazon,"₹1,499","₹4,999",BART,alway unhappi size previou iphon devic badli need upgrad dont budget lakh took chanc xr happi purchas,"The customer mentioned that they were unsatisfied with the size of their previous iPhone devices, specifically those from the 7 and 5s series. However, after upgrading to the XR model, they found it highly inconvenient due to limited options for larger screens in their price range. Despite this, the customer is delighted with their purchase as they are now equipped with a high-quality Bluetooth calling smart watch with features such as a largest 1.85"" IPS display, dual mode, SpO2 monitoring",1.0,https://www.amazon.in/Hammer-Ace-3-0-Bluetooth-Rotating/dp/B0BV6FVKSP/ref=sr_1_32?qid=1679133651&s=electronics&sr=1-32
"iQOO Z6 Lite 5G by vivo (Stellar Green, 6GB RAM, 128GB Storage) | World's First Snapdragon 4 Gen 1 | 120Hz Refresh Rate | ...","tv, audio & cameras",All Electronics,3.0 out of 5 stars,"22,254","₹15,499","₹18,999",BART,product let whole high end feel devic appl pack sophist softwar hardwar system rather disappoint design overal cheap buy appl lover first time user phone total let,"The customer mentioned that they were disappointed with the low-end feel despite the premium features offered by this device. The reviewer noted that while the Snapdragon 4 Gen 1 chip and 120Hz refresh rate are impressive, the overall design fails to match expectations, making it a ""cheap buy"" for those accustomed to Apple products. Despite these criticisms, the reviewer acknowledges the quality of the components within.",0.7080745341614906,https://www.amazon.in/iQOO-Stellar-Snapdragon-Purchased-Separately/dp/B07WJV6P1R/ref=sr_1_33?qid=1679133651&s=electronics&sr=1-33
MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Sa...,"tv, audio & cameras",All Electronics,1.0 out of 5 stars,"135,528","₹2,049","₹2,199",BART,im face speaker relat issu given handset xr gb servic center deni repair state handset fake valid warrenti,"The customer, after experiencing technical difficulties with their smartphone, mentioned, ""I am disappointed by the lack of warranty support from the manufacturer's service center."" The reviewer noted, ""This experience has left me questioning the authenticity of the device and how genuine repairs are handled by reputable companies.""",1.0,https://www.amazon.in/20000mAh-Sandstone-Triple-Charging-Delivery/dp/B08HV83HL3/ref=sr_1_34?qid=1679133651&s=electronics&sr=1-34
SanDisk Cruzer Blade 32GB USB Flash Drive,"tv, audio & cameras",All Electronics,5.0 out of 5 stars,"99,698",₹278,₹650,T5,know mani peopl confus wheather go appl x xr frank suggest xr pure fact x yr support appl respect x xr dual sim gotta understand insert sim,"The customer mentioned their preference for the Apple XR over the iPhone X due to its longer supported year by Apple, highlighting that the XR offers dual SIM functionality with the ability to insert only one SIM card. The reviewer noted that this feature makes it particularly convenient for users who prefer simplicity and ease of use in managing their cellular data plans.",0.6018518518518517,https://www.amazon.in/SanDisk-Cruzer-Blade-Flash-Drive/dp/B005FYNT3G/ref=sr_1_35?qid=1679133651&s=electronics&sr=1-35
"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones","tv, audio & cameras",All Electronics,1.0 out of 5 stars,"71,768",₹488,"₹1,000",BART,taken phone phone hold mani defect issu talk mouth pice precis hold voic creaki voic audibl phone even partial away chinmouth,"The customer mentioned they faced numerous issues with their phone's audio quality after installing the SanDisk Ultra® microSDXC™ UHS-I Card, which led to problems such as inaccurate speech recognition and reduced clarity in voice commands when speaking near or far from the device. The reviewer noted that despite the warranty offering 10 years of coverage, these defects significantly impacted their experience, highlighting a major dissatisfaction with both the product and its compatibility with smartphones.",1.0,https://www.amazon.in/SanDisk-Ultra%C2%AE-microSDXCTM-Warranty-Smartphones/dp/B0BDRVFDKP/ref=sr_1_36?qid=1679133651&s=electronics&sr=1-36
"boAt Airdopes 141 Pro True Wireless in Ear Earbuds with 45H Playtime, Quad Mics Enx Tech, 12mm Drivers, ASAP Charge, Beast...","tv, audio & cameras",All Electronics,5.0 out of 5 stars,"172,347","₹1,399","₹2,990",BART,two angl smartphon gener look honest review genuin user understand realli want appl,"""The customer mentioned they were impressed by the boAt Airdopes 141 Pro's 45-hour playtime, quad-microphone technology, and high-quality 12mm drivers. The reviewer noted the app-based charging feature was an added convenience for quick recharges anytime. Overall, the customer is highly satisfied and recommends these earbuds to anyone looking for reliable wireless headphones.""",1.0,https://www.amazon.in/boAt-Airdopes-141-Pro-Wireless/dp/B0B7J5ZTXD/ref=sr_1_37?qid=1679133651&s=electronics&sr=1-37
"Redmi A1 (Light Green, 2GB RAM 32GB ROM) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12","tv, audio & cameras",All Electronics,5.0 out of 5 stars,"11,100","₹5,899","₹8,999",T5,smooth butter lag awesom display superb camera perfect phone fantast display great price,"""The customer mentioned that they were thoroughly impressed by the seamless performance of their Redmi A1, which offered minimal lag despite its lightweight build. They also highlighted the exceptional quality of both cameras, praising the perfect blend of light green color and leather texture design.""",0.7855750487329435,https://www.amazon.in/Redmi-Segment-5000mAh-Battery-Leather/dp/B0BBN3WF7V/ref=sr_1_38?qid=1679133651&s=electronics&sr=1-38
"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240 * 240 PX High Res with SpO2, Heart Rate ...","tv, audio & cameras",All Electronics,5.0 out of 5 stars,"43,302","₹1,699","₹2,199",BART,far best smartphon ever own best phone ive ever own ive own lot phone,"""The customer mentioned that they are extremely satisfied with the Fire-Boltt Phoenix Smart Watch due to its exceptional features such as high-resolution display and advanced health monitoring capabilities. The reviewer noted that this product truly stands out among other smartphones.""",0.5562485562485563,https://www.amazon.in/Fire-Boltt-Phoenix-Bluetooth-Calling-Monitoring/dp/B0B3RRWSF6/ref=sr_1_40?qid=1679133651&s=electronics&sr=1-40
Samsung 25W USB Travel Adapter for Cellular Phones - White,"tv, audio & cameras",All Electronics,5.0 out of 5 stars,"10,024","₹1,099","₹1,699",BART,perfect phone great camera great perform great look great batteri life good display worth trade perfect size,"The customer mentioned that this Samsung 25W USB Travel Adapter for Cellular Phones exceeded all expectations in terms of phone functionality, with its excellent camera performance, impressive battery life, high-quality display, and perfect size for travel use. The reviewer noted that despite some initial hesitation due to the slight price increase, they found it well worth the investment for their needs.",1.0,https://www.amazon.in/Samsung-25W-Travel-Adapter/dp/B08VFF6JQ8/ref=sr_1_41?qid=1679133651&s=electronics&sr=1-41
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming,...","tv, audio & cameras",All Electronics,1.0 out of 5 stars,"172,347","₹1,299","₹4,490",BART,bought receiv note crack right top corner display visibl plastic sticker remov complain amazon custom cell assur replac noth happen call number time simpli tranfer call diifer section assurinng call back call back still left nowher money gone damag product,"The customer mentioned that they purchased the boAt Airdopes 141 Bluetooth Truly Wireless earbuds and received them on March 10, 2019. They noticed a crack on the right top corner of the display when removing the plastic sticker and contacted Amazon's customer service cell, where they were assured of a replacement. However, despite multiple attempts to reach an agent, they continued to receive transfers to different departments without receiving any further action or resolution. The customer ultimately concluded",0.5743300904591226,https://www.amazon.in/Airdopes-141-Bluetooth-Wireless-Playtime/dp/B09N3ZLB3T/ref=sr_1_42?qid=1679133651&s=electronics&sr=1-42
"pTron Bassbuds Duo in Ear Earbuds with 32Hrs Total Playtime, Bluetooth 5.1 Wireless, Stereo Audio, Touch Control TWS, with...","tv, audio & cameras",All Electronics,5.0 out of 5 stars,"166,395",₹799,"₹2,599",BART,extrem easi use good specif good build qualiti good perform good ergonom good design good sound qualiti,"""The customer mentioned the ease of use, noting that these earbuds were exceptionally simple to operate. The review notes their satisfaction with the device's good specifications and high build quality, emphasizing its durability and reliability. Performance was highly praised by the reviewer, who appreciated the excellent stereo audio experience and touch control features for hands-free navigation. Ergonomics received positive attention, with the earbuds being comfortable and secure on the ears throughout extended listening sessions. Design was commended as appealing and aesthetically",0.4848484848484848,https://www.amazon.in/Bassbuds-Duo-Headphones-Water-Resistant-Assistance/dp/B09DD9SX9Z/ref=sr_1_43?qid=1679133651&s=electronics&sr=1-43
